sample_accession	submission_accession	sample_description	sampling_platform	study_accession	sampling_site	marine_region	sample_title	country	location_end	location	location_start	isolation_source	depth
SAMN14859765	SRA1073660	Plant sample from Fagus grandifolia		PRJNA630305			Plant sample from Fagus grandifolia	USA: Harvard Forest, MA					
SAMN14859766	SRA1073660	Plant sample from Fagus grandifolia		PRJNA630305			Plant sample from Fagus grandifolia	USA: Harvard Forest, MA					
SAMN14859767	SRA1073660	Plant sample from Fagus grandifolia		PRJNA630305			Plant sample from Fagus grandifolia	USA: Harvard Forest, MA					
SAMN15637002	SRA1103038	Plant sample from Fagus sylvatica		PRJNA648273			Plant sample from Fagus sylvatica	Germany:Gransee					
SAMN15637004	SRA1103038	Plant sample from Fagus sylvatica		PRJNA648273			Plant sample from Fagus sylvatica	Germany:Hengstberg					
SAMN16263406	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263412	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263413	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263414	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263417	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263418	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263419	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263420	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263422	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263423	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263426	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263430	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263432	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263434	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263435	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263436	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263437	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263439	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263440	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263441	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263442	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263445	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263446	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Centerville					
SAMN16263448	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Centerville					
SAMN16263449	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Centerville					
SAMN16263452	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263454	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263455	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263456	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263462	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263468	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263469	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263470	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263472	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263476	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263480	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263481	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263482	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263483	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263487	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263492	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263493	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263494	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263495	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263504	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263512	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263514	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263516	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263521	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263523	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263524	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263529	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263530	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263533	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263535	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263538	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263539	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263542	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263543	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263544	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Cleveland Metroparks					
SAMN16263546	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263548	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Pataskala					
SAMN16263554	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263555	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263560	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16263561	SRA1131629	Plant sample from Fagus grandifolia		PRJNA665708			Plant sample from Fagus grandifolia	USA: Erie					
SAMN16504438	SRA1148973	Plant sample from Fagus grandifolia					Plant sample from Fagus grandifolia	USA: NC, JC Arboretum					
SAMN16935286	SRA1164369	5 individuals from 5 populations		PRJNA681175			Pure species	Japan					
SAMN17601130	SRA1194435	Fagus sylvatica - Reduced Representation Reads		PRJNA694960			Fagus sylvatica - Reduced Representation Reads	Poland: Lutowko					
SAMN17601222	SRA1194435	Fagus sylvatica - Reduced Representation Reads		PRJNA694960			Fagus sylvatica - Reduced Representation Reads	Poland: Lutowko					
SAMN17601283	SRA1194435	Fagus sylvatica - Reduced Representation Reads		PRJNA694960			Fagus sylvatica - Reduced Representation Reads	Slovakia: Lednicke Rovn					
SAMN17601286	SRA1194435	Fagus sylvatica - Reduced Representation Reads		PRJNA694960			Fagus sylvatica - Reduced Representation Reads	Germany: Flaming					
SAMN17848647	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Bad Salzungen					
SAMN17848648	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Bad Salzungen					
SAMN17848656	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: Szczecinek					
SAMN17848657	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Spain: Limitaciones					
SAMN17848658	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Spain: Limitaciones					
SAMN17848661	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: Gdansk					
SAMN17848662	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: Gdansk					
SAMN17848664	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Herrenberg					
SAMN17848665	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: BPN					
SAMN17848672	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: Karnieszewice					
SAMN17848675	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Romania: Fintinele-Bacau					
SAMN17848676	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Romania: Fintinele-Bacau					
SAMN17848680	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Italy: Veneto					
SAMN17848684	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Denmark: Grassten					
SAMN17848688	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Kirchheimbolanden					
SAMN17848693	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Ebeleben					
SAMN17848696	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: Pniewy					
SAMN17848697	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	France: Verrieres-du-Grosbois					
SAMN17848703	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Oderhaus					
SAMN17848707	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Romania: Beius-Bihor					
SAMN17848710	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: Lipinki					
SAMN17848712	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Zwiesel					
SAMN17848713	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: Kwidzyn					
SAMN17848716	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Poland: Krynica					
SAMN17848718	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Tharandt					
SAMN17848719	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Harsefeld					
SAMN17848720	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Harsefeld					
SAMN17848721	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Czech Republic: Cesky Krumlov					
SAMN17848728	SRA1194435	Plant sample from Fagus sylvatica		PRJNA694960			Plant sample from Fagus sylvatica	Germany: Osburg					
SAMN17848777	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Wejherowo					
SAMN17848779	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Seelzerthurm					
SAMN17848785	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Sinntal					
SAMN17848786	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Prudnik					
SAMN17848787	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Prudnik					
SAMN17848793	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Szczecinek					
SAMN17848794	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Spain: Limitaciones					
SAMN17848801	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Herrenberg					
SAMN17848806	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	France: Fort de Planoise					
SAMN17848809	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Hasbruch					
SAMN17848812	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Romania: Fintinele-Bacau					
SAMN17848813	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Romania: Fintinele-Bacau					
SAMN17848814	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Vohenstrauss					
SAMN17848815	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Vohenstrauss					
SAMN17848824	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Denmark: Grassten					
SAMN17848826	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Mlynary					
SAMN17848828	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Dillenburg					
SAMN17848831	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Ebeleben					
SAMEA112885641	ERA21801262	pool of trees with stem from population KST		PRJEB60881			KST_BA						
SAMN17848833	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Pniewy					
SAMEA112885647	ERA21801262	pool of trees from population �stringen		PRJEB60881			Bu_2103						
SAMN17848834	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	France: Verrires-du-Grosbois					
SAMN17848840	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Slovakia: Trencin					
SAMEA112885650	ERA21801262	pool of trees from population Tauberbischofsheim		PRJEB60881			Bu_2108						
SAMN17848845	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Romania: Beius-Bihor					
SAMEA112885651	ERA21801262	pool of trees from population Kaufbeuren		PRJEB60881			Bu_2201						
SAMN17848849	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Zwiesel					
SAMEA112885655	ERA21801262	pool of trees from population Wurzelberg		PRJEB60881			Bu_2313						
SAMN17848853	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Krynica					
SAMN17848854	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Slovakia: Medzilaborce					
SAMEA112885656	ERA21801262	pool of trees from population Cunnersdorf		PRJEB60881			Bu_2405						
SAMN17848857	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Lopuchowko					
SAMN17848859	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: BPN_II					
SAMN17848861	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Poland: Gryfino					
SAMN17848865	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Osburg					
SAMEA112885657	ERA21801262	pool of trees from population Mockrehna (GB)		PRJEB60881			Bu_2410						
SAMN17848868	SRA1194435	Fagus sylvatica - ddRAD		PRJNA694960			Fagus sylvatica - ddRAD	Germany: Elmstein-Sud					
SAMEA112885659	ERA21801262	pool of trees from population Ottendorf		PRJEB60881			Bu_2412						
SAMN23970723	SRA1342313	FS		PRJNA788424			FS	France: Massane reservation					
SAMEA3950355	ERA612162	RNA sequenced from ectomycorrhizal beech root samples		PRJEB13821			Beech root and associated fungi	Germany	51.091 N 10.523 E	51.091 N 10.523 E	51.091 N 10.523 E		0.1
SAMN24423804	SRA1348606	Plant sample from Fagus longipetiolata		PRJNA792394			Plant sample from Fagus longipetiolata	China:Guizhou					
SAMEA3950364	ERA612162	RNA sequenced from ectomycorrhizal beech root samples		PRJEB13821			Beech root and associated fungi	Germany	51.091 N 10.523 E	51.091 N 10.523 E	51.091 N 10.523 E		0.1
SAMEA114641044	ERA27415991			PRJEB70295				France					
SAMEA7721946	ERA3196731	pooled sample of healthy individuals		PRJEB41973			MPG						
SAMEA114641045	ERA27415991			PRJEB70295				France					
SAMEA9453041	ERA5355204	RNA-Seq from quiescent buds		PRJEB46583			RNA-Seq from quiescent buds						
SAMEA9453043	ERA5355204	RNA-Seq from female flowers		PRJEB46583			RNA-Seq from female flowers						
SAMEA9461102	ERA5360562	RNA-Seq from buds, SSB_208		PRJEB46593			RNA-Seq from buds, SSB_208						
SAMEA9461106	ERA5360562	RNA-Seq from buds, SSB_595		PRJEB46593			RNA-Seq from buds, SSB_595						
SAMEA9461108	ERA5360562	RNA-Seq from buds, SSB_292		PRJEB46593			RNA-Seq from buds, SSB_292						
SAMEA9461109	ERA5360562	RNA-Seq from buds, SSB_406		PRJEB46593			RNA-Seq from buds, SSB_406						
SAMEA9461111	ERA5360562	RNA-Seq from buds, SSB_84		PRJEB46593			RNA-Seq from buds, SSB_84						
SAMEA9461114	ERA5360562	RNA-Seq from buds, SSB_431		PRJEB46593			RNA-Seq from buds, SSB_431						
SAMEA9461118	ERA5360562	RNA-Seq from buds, SSB_2		PRJEB46593			RNA-Seq from buds, SSB_2						
SAMEA9461121	ERA5360562	RNA-Seq from buds, SSB_22		PRJEB46593			RNA-Seq from buds, SSB_22						
SAMEA9461122	ERA5360562	RNA-Seq from buds, SSB_192		PRJEB46593			RNA-Seq from buds, SSB_192						
SAMEA9461123	ERA5360562	RNA-Seq from buds, SSB_491		PRJEB46593			RNA-Seq from buds, SSB_491						
SAMEA9461126	ERA5360562	RNA-Seq from buds, SSB_10		PRJEB46593			RNA-Seq from buds, SSB_10						
SAMEA9461133	ERA5360562	RNA-Seq from buds, SSB_262		PRJEB46593			RNA-Seq from buds, SSB_262						
SAMEA9461137	ERA5360562	RNA-Seq from buds, SSB_52		PRJEB46593			RNA-Seq from buds, SSB_52						
SAMEA9461143	ERA5360562	RNA-Seq from buds, SSB_559		PRJEB46593			RNA-Seq from buds, SSB_559						
SAMEA9461144	ERA5360562	RNA-Seq from buds, SSB_163		PRJEB46593			RNA-Seq from buds, SSB_163						
SAMEA9461150	ERA5360562	RNA-Seq from buds, SSB_244		PRJEB46593			RNA-Seq from buds, SSB_244						
SAMEA9461152	ERA5360562	RNA-Seq from buds, SSB_239		PRJEB46593			RNA-Seq from buds, SSB_239						
SAMEA9461154	ERA5360562	RNA-Seq from buds, SSB_31		PRJEB46593			RNA-Seq from buds, SSB_31						
SAMEA9461159	ERA5360562	RNA-Seq from buds, SSB_310		PRJEB46593			RNA-Seq from buds, SSB_310						
SAMEA9461160	ERA5360562	RNA-Seq from buds, SSB_130		PRJEB46593			RNA-Seq from buds, SSB_130						
SAMEA9461161	ERA5360562	RNA-Seq from buds, SSB_457		PRJEB46593			RNA-Seq from buds, SSB_457						
SAMEA9461164	ERA5360562	RNA-Seq from buds, SSB_216		PRJEB46593			RNA-Seq from buds, SSB_216						
SAMEA9461165	ERA5360562	RNA-Seq from buds, SSB_235		PRJEB46593			RNA-Seq from buds, SSB_235						
SAMEA9461166	ERA5360562	RNA-Seq from buds, SSB_339		PRJEB46593			RNA-Seq from buds, SSB_339						
SAMEA9461167	ERA5360562	RNA-Seq from buds, SSB_149		PRJEB46593			RNA-Seq from buds, SSB_149						
SAMEA9461172	ERA5360562	RNA-Seq from buds, SSB_77		PRJEB46593			RNA-Seq from buds, SSB_77						
SAMEA9461178	ERA5360562	RNA-Seq from buds, SSB_127		PRJEB46593			RNA-Seq from buds, SSB_127						
SAMEA9461184	ERA5360562	RNA-Seq from buds, SSB_290		PRJEB46593			RNA-Seq from buds, SSB_290						
SAMEA9461186	ERA5360562	RNA-Seq from buds, SSB_189		PRJEB46593			RNA-Seq from buds, SSB_189						
SAMEA9461187	ERA5360562	RNA-Seq from buds, SSB_247		PRJEB46593			RNA-Seq from buds, SSB_247						
SAMEA9461188	ERA5360562	RNA-Seq from buds, SSB_488		PRJEB46593			RNA-Seq from buds, SSB_488						
SAMEA9461189	ERA5360562	RNA-Seq from buds, SSB_513		PRJEB46593			RNA-Seq from buds, SSB_513						
SAMEA9461201	ERA5360562	RNA-Seq from buds, SSB_630		PRJEB46593			RNA-Seq from buds, SSB_630						
SAMEA9461204	ERA5360562	RNA-Seq from buds, SSB_452		PRJEB46593			RNA-Seq from buds, SSB_452						
SAMEA9461209	ERA5360562	RNA-Seq from buds, SSB_49		PRJEB46593			RNA-Seq from buds, SSB_49						
SAMEA9461216	ERA5360562	RNA-Seq from buds, SSB_377		PRJEB46593			RNA-Seq from buds, SSB_377						
SAMEA9461217	ERA5360562	RNA-Seq from buds, SSB_541		PRJEB46593			RNA-Seq from buds, SSB_541						
SAMEA9461219	ERA5360562	RNA-Seq from buds, SSB_598		PRJEB46593			RNA-Seq from buds, SSB_598						
SAMEA9461221	ERA5360562	RNA-Seq from buds, SSB_281		PRJEB46593			RNA-Seq from buds, SSB_281						
SAMEA9461222	ERA5360562	RNA-Seq from buds, SSB_129		PRJEB46593			RNA-Seq from buds, SSB_129						
SAMEA9461224	ERA5360562	RNA-Seq from buds, SSB_257		PRJEB46593			RNA-Seq from buds, SSB_257						
SAMEA9461227	ERA5360562	RNA-Seq from buds, SSB_456		PRJEB46593			RNA-Seq from buds, SSB_456						
SAMEA9461231	ERA5360562	RNA-Seq from buds, SSB_641		PRJEB46593			RNA-Seq from buds, SSB_641						
SAMEA9461241	ERA5360562	RNA-Seq from buds, SSB_626		PRJEB46593			RNA-Seq from buds, SSB_626						
SAMEA9461244	ERA5360562	RNA-Seq from buds, SSB_621		PRJEB46593			RNA-Seq from buds, SSB_621						
SAMEA9461245	ERA5360562	RNA-Seq from buds, SSB_41		PRJEB46593			RNA-Seq from buds, SSB_41						
SAMEA9461248	ERA5360562	RNA-Seq from buds, SSB_628		PRJEB46593			RNA-Seq from buds, SSB_628						
SAMEA9461250	ERA5360562	RNA-Seq from buds, SSB_376		PRJEB46593			RNA-Seq from buds, SSB_376						
SAMEA9461254	ERA5360562	RNA-Seq from buds, SSB_315		PRJEB46593			RNA-Seq from buds, SSB_315						
SAMEA9461262	ERA5360562	RNA-Seq from buds, SSB_177		PRJEB46593			RNA-Seq from buds, SSB_177						
SAMEA9461267	ERA5360562	RNA-Seq from buds, SSB_624		PRJEB46593			RNA-Seq from buds, SSB_624						
SAMEA9461268	ERA5360562	RNA-Seq from buds, SSB_73		PRJEB46593			RNA-Seq from buds, SSB_73						
SAMEA9461269	ERA5360562	RNA-Seq from buds, SSB_393		PRJEB46593			RNA-Seq from buds, SSB_393						
SAMEA9461270	ERA5360562	RNA-Seq from buds, SSB_619		PRJEB46593			RNA-Seq from buds, SSB_619						
SAMEA9461272	ERA5360562	RNA-Seq from buds, SSB_607		PRJEB46593			RNA-Seq from buds, SSB_607						
SAMEA9461273	ERA5360562	RNA-Seq from buds, SSB_664		PRJEB46593			RNA-Seq from buds, SSB_664						
SAMEA9461281	ERA5360562	RNA-Seq from buds, SSB_590		PRJEB46593			RNA-Seq from buds, SSB_590						
SAMEA9461282	ERA5360562	RNA-Seq from buds, SSB_544		PRJEB46593			RNA-Seq from buds, SSB_544						
SAMEA9461288	ERA5360562	RNA-Seq from buds, SSB_487		PRJEB46593			RNA-Seq from buds, SSB_487						
SAMEA9461292	ERA5360562	RNA-Seq from buds, SSB_295		PRJEB46593			RNA-Seq from buds, SSB_295						
SAMEA9461293	ERA5360562	RNA-Seq from buds, SSB_320		PRJEB46593			RNA-Seq from buds, SSB_320						
SAMEA9461296	ERA5360562	RNA-Seq from buds, SSB_402		PRJEB46593			RNA-Seq from buds, SSB_402						
SAMN11246263	SRA865177	Plant sample from Fagus crenata		PRJNA528838			Plant sample from Fagus crenata	Japan: Hokkaido, Daisengen Peak					
SAMN44353095	SRA1994002	Plant sample from Fagus grandifolia		PRJNA1143877			Plant sample from Fagus grandifolia	USA: Arnot Forest					
SAMN44353097	SRA1994002	Plant sample from Fagus grandifolia		PRJNA1143877			Plant sample from Fagus grandifolia	USA: Arnot Forest					
