sample_accession,sample_description,tax_id,age,altitude,assembly_quality,assembly_software,binning_software,bio_material,broad_scale_environmental_context,broker_name,cell_line,cell_type,center_name,checklist,collected_by,collection_date,collection_date_end,collection_date_start,completeness_score,contamination_score,country,cultivar,culture_collection,datahub,depth,description,dev_stage,disease,ecotype,elevation,environment_biome,environment_feature,environment_material,environmental_medium,environmental_sample,experimental_factor,first_public,germline,host,host_body_site,host_genotype,host_gravidity,host_growth_conditions,host_phenotype,host_scientific_name,host_sex,host_status,host_tax_id,identified_by,investigation_type,isolate,isolation_source,keywords,last_updated,lat,local_environmental_context,location,location_end,location_start,lon,marine_region,mating_type,ncbi_reporting_standard,ph,project_name,protocol_label,related_sample_accession,salinity,sample_alias,sample_capture_status,sample_collection,sample_material,sample_title,sampling_campaign,sampling_platform,sampling_site,scientific_name,secondary_sample_accession,sequencing_method,serotype,serovar,sex,specimen_voucher,status,strain,study_accession,sub_species,sub_strain,submission_accession,submission_tool,submitted_host_sex,tag,target_gene,tax_lineage,taxonomic_classification,taxonomic_identity_marker,temperature,tissue_lib,tissue_type,variety
SAMEA1130675,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433394 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130680,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433395 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130686,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433376 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130687,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433389 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130692,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433394 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130694,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433392 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130700,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433397 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130704,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433402 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130706,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433439 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130712,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433448 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130713,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433443 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130716,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433442 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130717,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433434 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130719,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433450 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130720,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433444 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130721,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433441 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130726,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433445 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130732,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433432 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130733,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433448 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130734,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433432 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130737,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433435 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130738,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433438 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130741,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433437 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130744,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433454 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130746,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433462 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130749,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433460 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130751,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433469 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130754,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433465 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130756,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433463 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130760,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433451 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130772,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433459 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130773,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433453 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130774,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433452 2,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA1130775,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,28930,about 60 years,,,,,,,,,,,,,,,,,,,,,,,A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source GSM433466 1,,,,,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
